Date,Product,Quantity,Unit_Price,Customer_ID,Region,Total_Sales
2023-04-13,Printer,3,802.0,CUST_015,South,2406.0
2023-06-29,Printer,4,800.14,CUST_047,North,3200.56
2023-04-03,Printer,3,136.65,CUST_022,West,409.95000000000005
2023-01-15,Laptop,1,519.7,CUST_014,West,519.7
2023-04-17,Monitor,1,104.68,CUST_026,East,104.68
2023-03-13,Laptop,5,572.05,CUST_028,East,2860.25
2023-07-08,Tablet,6,469.45,CUST_023,East,2816.7
2023-01-21,Laptop,3,893.32,CUST_014,South,2679.96
2023-04-13,Mouse,9,383.37,CUST_024,South,3450.33
2023-05-02,Monitor,5,161.21,CUST_002,East,806.0500000000001
2023-03-16,Monitor,8,185.84,CUST_045,East,1486.72
2023-03-29,Tablet,1,773.44,CUST_026,East,773.44
2023-04-27,Phone,5,637.31,CUST_014,West,3186.5499999999997
2023-04-10,Mouse,3,146.07,CUST_007,South,438.21
2023-04-14,Keyboard,1,129.9,CUST_003,West,129.9
2023-06-01,Laptop,4,715.92,CUST_047,West,2863.68
2023-05-11,Headphones,5,119.12,CUST_023,East,595.6
2023-05-30,Laptop,7,830.77,CUST_046,East,5815.389999999999
2023-02-22,Printer,1,720.93,CUST_043,North,720.93
2023-01-02,Laptop,3,127.28,CUST_047,North,381.84000000000003
2023-03-29,Keyboard,2,130.6,CUST_045,West,261.2
2023-06-07,Laptop,9,987.31,CUST_018,South,8885.789999999999
2023-02-07,Mouse,6,405.56,CUST_038,East,2433.36
2023-05-10,Mouse,3,402.11,CUST_035,East,1206.33
2023-07-11,Monitor,8,822.16,CUST_015,West,6577.28
2023-07-07,Tablet,8,949.89,CUST_025,North,7599.12
2023-01-21,Phone,2,986.7,CUST_037,South,1973.4
2023-06-10,Headphones,6,765.71,CUST_028,North,4594.26
2023-02-27,Printer,7,407.45,CUST_010,North,2852.15
2023-01-22,Laptop,2,129.33,CUST_039,North,258.66
2023-03-30,Laptop,2,788.29,CUST_017,North,1576.58
2023-02-18,Keyboard,1,580.48,CUST_039,East,580.48
2023-02-28,Tablet,8,453.01,CUST_022,East,3624.08
2023-06-19,Mouse,1,911.04,CUST_026,North,911.04
2023-07-07,Headphones,9,155.64,CUST_044,South,1400.7599999999998
2023-01-15,Monitor,6,517.99,CUST_025,West,3107.94
2023-07-09,Mouse,7,60.79,CUST_017,South,425.53
2023-07-09,Printer,7,495.23,CUST_013,South,3466.61
2023-06-24,Tablet,3,103.49,CUST_020,South,310.46999999999997
2023-07-09,Printer,2,162.88,CUST_025,North,325.76
2023-02-20,Phone,9,161.65,CUST_004,East,1454.8500000000001
2023-04-18,Monitor,8,666.75,CUST_010,South,5334.0
2023-02-24,Phone,7,758.74,CUST_003,North,5311.18
2023-03-05,Keyboard,9,604.2,CUST_041,South,5437.8
2023-05-11,Printer,4,964.06,CUST_045,South,3856.24
2023-02-20,Keyboard,4,406.13,CUST_018,North,1624.52
2023-05-15,Laptop,1,321.43,CUST_047,East,321.43
2023-01-21,Phone,8,875.17,CUST_036,East,7001.36
2023-03-14,Tablet,3,262.42,CUST_047,West,787.26
2023-06-16,Printer,7,965.06,CUST_022,North,6755.42
2023-01-18,Headphones,2,61.55,CUST_034,West,123.1
2023-05-12,Monitor,2,971.38,CUST_047,West,1942.76
2023-03-30,Mouse,7,91.0,CUST_008,West,637.0
2023-03-01,Tablet,6,896.59,CUST_040,East,5379.54
2023-01-14,Tablet,3,551.32,CUST_049,North,1653.96
2023-01-09,Keyboard,9,993.32,CUST_044,West,8939.880000000001
2023-03-31,Phone,6,120.11,CUST_019,North,720.66
2023-02-22,Printer,6,576.16,CUST_042,North,3456.96
2023-05-10,Printer,1,970.84,CUST_041,East,970.84
2023-03-25,Laptop,4,546.94,CUST_037,West,2187.76
2023-04-02,Laptop,6,647.93,CUST_006,West,3887.58
2023-04-21,Monitor,6,710.96,CUST_026,North,4265.76
2023-07-07,Keyboard,5,481.81,CUST_034,South,2409.05
2023-07-18,Tablet,1,646.18,CUST_045,East,646.18
2023-06-21,Printer,8,605.1,CUST_006,East,4840.8
2023-01-08,Headphones,5,906.1,CUST_037,East,4530.5
2023-06-24,Keyboard,5,93.17,CUST_033,East,465.85
2023-02-04,Monitor,7,316.92,CUST_022,West,2218.44
2023-03-22,Monitor,4,952.89,CUST_021,West,3811.56
2023-06-13,Keyboard,6,895.75,CUST_006,South,5374.5
2023-02-19,Monitor,4,482.87,CUST_006,East,1931.48
2023-04-14,Keyboard,3,639.13,CUST_048,East,1917.3899999999999
2023-05-12,Mouse,7,313.51,CUST_004,North,2194.5699999999997
2023-01-02,Keyboard,8,228.72,CUST_030,West,1829.76
2023-05-14,Phone,4,490.51,CUST_011,East,1962.04
2023-02-23,Keyboard,2,385.68,CUST_030,South,771.36
2023-04-16,Monitor,3,604.47,CUST_031,South,1813.41
2023-01-04,Printer,1,123.85,CUST_024,West,123.85
2023-02-23,Phone,8,975.68,CUST_009,South,7805.44
2023-07-10,Monitor,3,986.9,CUST_003,South,2960.7
2023-05-26,Laptop,7,713.25,CUST_031,West,4992.75
2023-02-13,Laptop,5,559.29,CUST_040,East,2796.45
2023-06-11,Printer,5,344.05,CUST_037,East,1720.25
2023-07-09,Printer,7,823.11,CUST_036,South,5761.77
2023-01-14,Phone,9,700.49,CUST_024,South,6304.41
2023-04-05,Mouse,5,204.49,CUST_031,East,1022.45
2023-02-17,Printer,1,915.38,CUST_006,West,915.38
2023-01-15,Laptop,1,831.41,CUST_002,South,831.41
2023-07-19,Keyboard,2,952.31,CUST_020,North,1904.62
2023-07-09,Monitor,6,739.43,CUST_028,West,4436.58
2023-02-09,Laptop,9,632.74,CUST_011,South,5694.66
2023-03-23,Laptop,8,447.33,CUST_004,South,3578.64
2023-04-21,Mouse,5,936.09,CUST_015,North,4680.45
2023-02-22,Phone,1,872.76,CUST_006,North,872.76
2023-01-24,Phone,7,92.96,CUST_049,East,650.7199999999999
2023-06-03,Tablet,5,75.05,CUST_030,West,375.25
2023-07-07,Mouse,6,407.64,CUST_038,West,2445.84
2023-05-04,Keyboard,7,820.03,CUST_002,East,5740.21
2023-02-10,Phone,3,987.91,CUST_015,West,2963.73
2023-06-06,Monitor,3,192.9,CUST_011,West,578.7
2023-01-15,Printer,5,614.42,CUST_008,West,3072.1
2023-02-14,Mouse,6,411.85,CUST_026,West,2471.1000000000004
2023-03-06,Printer,9,971.42,CUST_045,West,8742.779999999999
2023-03-30,Laptop,5,850.01,CUST_044,North,4250.05
2023-03-12,Monitor,1,846.41,CUST_005,West,846.41
2023-01-09,Monitor,4,495.26,CUST_006,North,1981.04
2023-03-29,Laptop,5,444.08,CUST_026,West,2220.4
2023-05-09,Mouse,5,309.74,CUST_004,East,1548.7
2023-05-16,Laptop,7,103.56,CUST_019,South,724.9200000000001
2023-03-04,Printer,4,871.49,CUST_020,North,3485.96
2023-05-19,Tablet,1,822.26,CUST_033,West,822.26
2023-03-22,Monitor,5,999.73,CUST_020,East,4998.65
2023-05-16,Headphones,7,996.8,CUST_049,South,6977.599999999999
2023-06-12,Headphones,6,577.66,CUST_012,North,3465.96
2023-06-12,Printer,5,780.54,CUST_047,South,3902.7
2023-02-02,Keyboard,4,947.53,CUST_001,East,3790.12
2023-05-03,Phone,2,857.17,CUST_026,North,1714.34
2023-01-05,Laptop,4,284.98,CUST_014,South,1139.92
2023-02-10,Laptop,3,478.02,CUST_038,West,1434.06
2023-01-28,Keyboard,1,172.7,CUST_037,North,172.7
2023-05-15,Keyboard,8,956.35,CUST_011,South,7650.8
2023-03-13,Printer,5,625.87,CUST_036,East,3129.35
2023-01-12,Printer,4,267.21,CUST_013,East,1068.84
2023-06-11,Keyboard,8,688.12,CUST_043,North,5504.96
2023-02-02,Monitor,7,637.22,CUST_003,South,4460.54
2023-02-17,Printer,2,390.25,CUST_033,North,780.5
2023-05-31,Tablet,1,157.88,CUST_006,North,157.88
2023-03-03,Printer,4,687.99,CUST_050,South,2751.96
2023-02-06,Laptop,8,544.29,CUST_010,South,4354.32
2023-04-09,Printer,2,783.7,CUST_005,West,1567.4
2023-06-21,Monitor,3,544.16,CUST_023,South,1632.48
2023-04-14,Keyboard,1,859.57,CUST_010,East,859.57
2023-02-04,Laptop,1,574.31,CUST_044,North,574.31
2023-07-12,Printer,3,582.89,CUST_002,North,1748.67
2023-04-11,Monitor,5,882.82,CUST_013,East,4414.1
2023-06-24,Tablet,3,433.31,CUST_040,South,1299.93
2023-05-11,Printer,1,177.31,CUST_002,East,177.31
2023-01-01,Monitor,1,77.34,CUST_020,East,77.34
2023-01-05,Tablet,8,767.38,CUST_001,West,6139.04
2023-05-22,Keyboard,2,639.29,CUST_037,East,1278.58
2023-04-13,Printer,3,718.88,CUST_009,North,2156.64
2023-01-27,Tablet,2,252.32,CUST_017,East,504.64
2023-05-17,Laptop,3,179.55,CUST_009,North,538.6500000000001
2023-01-15,Keyboard,7,63.82,CUST_011,North,446.74
2023-03-31,Laptop,1,383.06,CUST_015,North,383.06
2023-02-11,Headphones,8,610.42,CUST_024,South,4883.36
2023-05-04,Mouse,2,422.63,CUST_038,West,845.26
2023-06-28,Printer,3,465.6,CUST_035,North,1396.8000000000002
2023-03-04,Tablet,9,908.95,CUST_030,North,8180.55
2023-04-06,Mouse,7,380.84,CUST_031,South,2665.8799999999997
2023-02-21,Mouse,4,538.29,CUST_049,North,2153.16
2023-04-06,Tablet,5,794.47,CUST_005,East,3972.3500000000004
2023-05-12,Keyboard,2,426.72,CUST_044,East,853.44
2023-05-31,Printer,8,640.98,CUST_050,West,5127.84
2023-05-23,Headphones,4,869.25,CUST_014,North,3477.0
2023-06-20,Laptop,9,952.04,CUST_011,South,8568.36
2023-01-29,Monitor,5,189.72,CUST_009,East,948.6
2023-02-05,Laptop,9,930.26,CUST_034,South,8372.34
2023-01-13,Monitor,4,517.51,CUST_012,South,2070.04
2023-06-09,Laptop,5,295.33,CUST_035,East,1476.6499999999999
2023-03-12,Tablet,9,486.18,CUST_035,South,4375.62
2023-07-06,Headphones,8,981.03,CUST_001,East,7848.24
2023-03-27,Printer,3,517.99,CUST_040,South,1553.97
2023-01-28,Monitor,1,362.31,CUST_022,East,362.31
